Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
IMU_base_link,-0.0046220122149849,5.28960576378495E-05,-0.01265419238121,0,0,0,0.00779163606241783,5.47045124257597E-07,1.64587514778427E-08,-6.167906463698E-08,9.19746500897318E-07,-1.74883332978855E-08,9.14286421290821E-07,0,0,0,0,0,0,package://DexCap_UL_v4/meshes/IMU_base_link.STL,1,1,1,1,0,0,0,0,0,0,package://DexCap_UL_v4/meshes/IMU_base_link.STL,,URDF_V4.0.STEP-1/HI13_USB_Angled(ÍäÍ·)-1.STEP-1,base_c,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
waist_base_link,0.0148645221604011,0.000851217296511234,3.93615558469396E-05,0,0,0,0.0561803397230662,7.45359936620418E-05,3.07419426399858E-07,1.75143279481996E-08,1.59275873839188E-05,1.78584153913756E-08,6.10582260094786E-05,0,0,0,0,0,0,package://DexCap_UL_v4/meshes/waist_base_link.STL,0.898039215686275,0.909803921568627,0.92156862745098,1,0,0,0,0,0,0,package://DexCap_UL_v4/meshes/waist_base_link.STL,,URDF_V4.0.STEP-1/Joint-WR(__-_flexible10).STEP-1/WR-A(__).STEP-1;URDF_V4.0.STEP-1/WA-Board-Modi(Straight).STEP-1;URDF_V4.0.STEP-1/Joint-WR(__-_flexible10).STEP-1/WR-C-1.STEP-1;URDF_V4.0.STEP-1/IMU-BRACKET-2-1.STEP-1,base_c,base_a,waist_base_fixed_joint,fixed,0,0,0,0,0,0,IMU_base_link,0,0,0,,,,,,,,,,,,
waist_link_1,8.22412971057673E-09,0.0543065877847726,-7.86631111100261E-05,0,0,0,0.0516307682978699,4.16141560612821E-05,-2.02101245042119E-11,4.27220747256834E-12,5.29925063620277E-06,2.88803151188489E-07,3.83716866428703E-05,0,0,0,0,0,0,package://DexCap_UL_v4/meshes/waist_link_1.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://DexCap_UL_v4/meshes/waist_link_1.STL,,URDF_V4.0.STEP-1/WA-03(WA-Rod-3).STEP-1;URDF_V4.0.STEP-1/Joint-WR(__-_flexible10).STEP-1/WR-B(__).STEP-1;URDF_V4.0.STEP-1/Joint-WR(__-_flexible10).STEP-1/WR-B2-1.STEP-1,c_w_1,a_w_1,waist_joint_1,revolute,-0.0174,0.0005,0,1.5708,0,0,waist_base_link,0,0,-1,0,0,-3.14,3.14,,,,,,,,
waist_link_2,-0.000463363101697996,7.88107457072584E-09,0.029275303264952,0,0,0,0.0401488320625287,8.84260128412323E-06,-4.08347802032077E-11,3.07425196193514E-07,9.4008144343819E-06,3.1406533116348E-12,3.84281806056291E-06,0,0,0,0,0,0,package://DexCap_UL_v4/meshes/waist_link_2.STL,0.898039215686275,0.909803921568627,0.92156862745098,1,0,0,0,0,0,0,package://DexCap_UL_v4/meshes/waist_link_2.STL,,URDF_V4.0.STEP-1/Joint-C(__-_flexible7).STEP-1/C-C-1.STEP-1;URDF_V4.0.STEP-1/WA-02-1.STEP-1;URDF_V4.0.STEP-1/Joint-WR(__-_flexible8).STEP-1/WR-A(__).STEP-1;URDF_V4.0.STEP-1/Joint-WR(__-_flexible8).STEP-1/WR-C-1.STEP-1,c_w_2,a_w_2,waist_joint_2,revolute,0,0.1112,0,1.5708,-1.5708,0,waist_link_1,0,0,-1,0,0,-3.14,3.14,,,,,,,,
waist_link_3,-3.82933556664911E-05,0.0708317869982616,-0.00021630790893068,0,0,0,0.0650616311733785,6.89483065117044E-05,-1.34945447739284E-07,3.49652851120256E-09,6.96172970086655E-06,-1.42870668143825E-07,6.37014663591643E-05,0,0,0,0,0,0,package://DexCap_UL_v4/meshes/waist_link_3.STL,0.898039215686275,0.909803921568627,0.92156862745098,1,0,0,0,0,0,0,package://DexCap_UL_v4/meshes/waist_link_3.STL,,URDF_V4.0.STEP-1/Joint-WR(__-_flexible8).STEP-1/WR-B(__).STEP-1;URDF_V4.0.STEP-1/Joint-WR(__-_flexible8).STEP-1/WR-B2-1.STEP-1;URDF_V4.0.STEP-1/WA-01-V04-2-1.STEP-1;URDF_V4.0.STEP-1/Joint-WR(__-_flexible9).STEP-1/WR-A(__).STEP-1;URDF_V4.0.STEP-1/Joint-WR(__-_flexible9).STEP-1/WR-C-1.STEP-1,c_w_3,a_w_3,waist_joint_3,revolute,0,0,0.0798,1.5708,0,1.5708,waist_link_2,0,0,-1,0,0,-3.14,3.14,,,,,,,,
waist_link_4,0.00106692717407715,0.000725490944489426,0.000745565440080721,0,0,0,0.0144718856498733,8.753574273106E-07,-3.07410466511051E-07,1.92082311590847E-21,1.30681889024597E-06,1.38838261991491E-08,1.66553281852038E-06,0,0,0,0,0,0,package://DexCap_UL_v4/meshes/waist_link_4.STL,0.898039215686275,0.909803921568627,0.92156862745098,1,0,0,0,0,0,0,package://DexCap_UL_v4/meshes/waist_link_4.STL,,URDF_V4.0.STEP-1/Joint-WR(__-_flexible9).STEP-1/WR-B(__).STEP-1;URDF_V4.0.STEP-1/Joint-WR(__-_flexible9).STEP-1/WR-B2-1.STEP-1;URDF_V4.0.STEP-1/WA-Block-1.STEP-1;URDF_V4.0.STEP-1/Joint-WR(__).STEP-1/WR-A(__).STEP-1;URDF_V4.0.STEP-1/Joint-WR(__).STEP-1/WR-C-1.STEP-1,c_w_4,a_w_4,waist_joint_4,revolute,0,0.16,0,0,0,0,waist_link_3,0,0,-1,0,0,-3.14,3.14,,,,,,,,
waist_link_5,0.0102683625581229,-4.43656666343012E-11,0.0027370949510116,0,0,0,0.0193558138719264,2.54458244889508E-06,-1.06402164800749E-15,-2.44689381848796E-08,1.075177151025E-06,-5.85999397945955E-15,2.09445472982631E-06,0,0,0,0,0,0,package://DexCap_UL_v4/meshes/waist_link_5.STL,0.898039215686275,0.909803921568627,0.92156862745098,1,0,0,0,0,0,0,package://DexCap_UL_v4/meshes/waist_link_5.STL,,URDF_V4.0.STEP-1/Joint-WR(__).STEP-1/WR-B(__).STEP-1;URDF_V4.0.STEP-1/Joint-WR(__).STEP-1/WR-B2-1.STEP-1;URDF_V4.0.STEP-1/WA-00-B-1.STEP-1,c_w_5,a_w_5,waist_joint_5,revolute,0.019,-0.00225,0,-1.5708,0,0,waist_link_4,0,0,-1,0,0,-3.14,3.14,,,,,,,,
upper_base_link,-0.0564227120746341,-0.00127334936169381,-0.116472951707593,0,0,0,2.31483014918455,0.0215367419025903,-8.12522859783126E-05,-0.00195646307209855,0.0104974056605923,-0.000248000937389758,0.0128853855844851,0,0,0,0,0,0,package://DexCap_UL_v4/meshes/upper_base_link.STL,1,1,1,1,0,0,0,0,0,0,package://DexCap_UL_v4/meshes/upper_base_link.STL,,URDF_V4.0.STEP-1/Vest_Redesign_New-EA-COPY-1.STEP-1;URDF_V4.0.STEP-1/ASSY_CONTROLLER-1.STEP-1/Control-Box-Shell_V2.6-1.STEP-1;URDF_V4.0.STEP-1/Battery_Bracket_New(Rotate12deg).STEP-1;URDF_V4.0.STEP-1/ASSY_CONTROLLER-1.STEP-1/___(___As Machined_).STEP-2;URDF_V4.0.STEP-1/ASSY_CONTROLLER-1.STEP-1/___(___As Machined_).STEP-1;URDF_V4.0.STEP-1/M4-NUT-1.STEP-4;URDF_V4.0.STEP-1/M4-NUT-1.STEP-1;URDF_V4.0.STEP-1/M4-NUT-1.STEP-2;URDF_V4.0.STEP-1/M4-NUT-1.STEP-3;URDF_V4.0.STEP-1/ASSY_CONTROLLER-1.STEP-1/M12__12P____.STEP-1;URDF_V4.0.STEP-1/ASSY_CONTROLLER-1.STEP-1/M12__12P____.STEP-2;URDF_V4.0.STEP-1/Part1(00).STEP-1;URDF_V4.0.STEP-1/Joint-C(__-_flexible5).STEP-1/C-C-1.STEP-1;URDF_V4.0.STEP-1/Part1(00).STEP-2;URDF_V4.0.STEP-1/Joint-C(__-_flexible2).STEP-1/C-C-1.STEP-1,upper_base_c,base_a,upper_base_fixed_joint,fixed,0.082323,0,0.2625,0,0,0,waist_link_5,0,0,0,,,,,,,,,,,,
left_arm_link_1,-0.000632319717354479,6.98752061899004E-10,-0.0208124626915561,0,0,0,0.0300581253966572,3.45201707975943E-06,-1.9392874320865E-11,-7.80052173995476E-07,5.45391716553757E-06,1.11808271001163E-11,5.51507141582864E-06,0,0,0,0,0,0,package://DexCap_UL_v4/meshes/left_arm_link_1.STL,0.745098039215686,0.745098039215686,0.745098039215686,1,0,0,0,0,0,0,package://DexCap_UL_v4/meshes/left_arm_link_1.STL,,URDF_V4.0.STEP-1/Part1(01).STEP-1;URDF_V4.0.STEP-1/Joint-S(__-_flexible3).STEP-1/S-A-1.STEP-1;URDF_V4.0.STEP-1/Joint-S(__-_flexible3).STEP-1/S-C(__).STEP-1,c_l_1,a_l_1,left_arm_joint_1,revolute,0,0.2112,0,1.5708,0,0,upper_base_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
left_arm_link_2,0.011623421180434,-0.0498018693903702,-0.000128572226499179,0,0,0,0.0934176913177702,8.2619354068824E-05,5.88582034643947E-07,4.63925671730561E-09,9.75764077007099E-06,-4.12882646055481E-08,8.21072350642737E-05,0,0,0,0,0,0,package://DexCap_UL_v4/meshes/left_arm_link_2.STL,0.898039215686275,0.909803921568627,0.92156862745098,1,0,0,0,0,0,0,package://DexCap_UL_v4/meshes/left_arm_link_2.STL,,URDF_V4.0.STEP-1/Joint-S(__-_flexible3).STEP-1/S-B(Modi0718).STEP-1;URDF_V4.0.STEP-1/Part1(02).STEP-1;URDF_V4.0.STEP-1/Joint-S(__-_flexible3).STEP-1/S-B2(Formal_RL).STEP-1;URDF_V4.0.STEP-1/Joint-C(__-_flexible4).STEP-1/C-C-1.STEP-1,c_l_2,a_l_2,left_arm_joint_2,revolute,-0.00029138,0,-0.0395,0,1.5708,0,left_arm_link_1,0,0,-1,0,0,-3.14,3.14,,,,,,,,
