Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0236781064028403,0.00934089205577926,-0.0165981324551148,0,0,0,0.0828378950350705,8.79562750798958E-05,2.71588649835111E-05,-8.77826174393724E-06,7.31838984925174E-05,7.90468646773551E-06,0.000153326132954308,0,0,0,0,0,0,package://DexGlove_R_v4/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_R_v4/meshes/base_link.STL,,手套-右-1/DX027-40108-上盖-外壳.1-1-1;手套-右-1/数采手套-左-1-1/框架外壳模组-1-1/DC014-拇指压板-上.1-1-1;手套-右-1/DX027-40101-手掌底座.1-1-1;手套-右-1/数采手套-左-1-1/框架外壳模组-1-1/DX-V4.02-03-17 开关拨片.1-1-1;手套-右-1/数采手套-左-1-1/框架外壳模组-1-1/DX-V4.02-03-19 导光管-1-1/DX-V4.02-03-19 导光管.1-1-1;手套-右-1/DX027-40201-上盖-电池.1-1-1;手套-右-1/DX027-40203-下盖-电池.1-1-1,base_c_r,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
glove_link_r_1_1,-0.00215728045779287,-0.00307369417708325,-0.0137637032172109,0,0,0,0.00433513065615975,3.86992882821694E-07,-2.38515126853778E-08,5.21177811076455E-09,3.57470978753743E-07,-4.8850817014162E-08,4.17215504296151E-07,0,0,0,0,0,0,package://DexGlove_R_v4/meshes/glove_link_r_1_1.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_R_v4/meshes/glove_link_r_1_1.STL,,手套-右-1/数采手套-左.1-1-1/五指模组-2-1/DX027-40039-外壳-拇指旋转-1-1;手套-右-1/数采手套-左.1-1-1/五指模组-2-1/DX027-40019-拇指旋转-1-1,c_r_1_1,a_r_1_1,glove_joint_r_1_1,revolute,-0.020715,0.061876,-0.050557,1.0492,1.5085,-1.5708,base_link,0,0,-1,0,0,-3.14,3.14,,,,,,,,
glove_link_r_1_2,0.000811940902181497,0.0119585264891836,-0.00262339116114008,0,0,0,0.00176023444866944,1.39653492124578E-07,-5.11002550692077E-09,1.28050430077515E-09,5.59872497641063E-08,2.26425181937427E-08,1.44673967965236E-07,0,0,0,0,0,0,package://DexGlove_R_v4/meshes/glove_link_r_1_2.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_R_v4/meshes/glove_link_r_1_2.STL,,手套-右-1/数采手套-左.1-1-1/五指模组-2-1/DX027-40002-过渡连接杆-拇指-1-1,c_r_1_2,a_r_1_2,glove_joint_r_1_2,revolute,0,0,-0.02125,-1.5708,0.031013,-0.054007,glove_link_r_1_1,0,0,-1,0,0,-3.14,3.14,,,,,,,,
glove_link_r_1_3,0.0227071761655551,0.0290581409534956,-0.00302142980775212,0,0,0,0.00602087917133949,1.72761590902778E-06,-1.5741991345232E-06,7.04977491744123E-09,1.74097848070545E-06,-4.22387017342231E-09,3.37694087239064E-06,0,0,0,0,0,0,package://DexGlove_R_v4/meshes/glove_link_r_1_3.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_R_v4/meshes/glove_link_r_1_3.STL,,手套-右-1/数采手套-左.1-1-1/五指模组-2-1/DX027-40005-LX1连杆.1-1-1;手套-右-1/数采手套-左.1-1-1/五指模组-2-1/DX027-40029-外壳-LD1.1-1-1,c_r_1_3,a_r_1_3,glove_joint_r_1_3,revolute,0,0.0185,-0.0047,-1.5708,-0.52077,1.5708,glove_link_r_1_2,0,0,1,0,0,-3.14,3.14,,,,,,,,
glove_link_r_1_4,0.0235915596730231,-0.0274165578809945,-0.00364848164793289,0,0,0,0.00578381904984222,2.08576688490875E-06,1.20893389245463E-06,-5.12145743368055E-10,9.24049928643268E-07,3.16174375189158E-10,2.92583325308737E-06,0,0,0,0,0,0,package://DexGlove_R_v4/meshes/glove_link_r_1_4.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_R_v4/meshes/glove_link_r_1_4.STL,,手套-右-1/数采手套-左.1-1-1/五指模组-2-1/DX027-40003-LS2连杆.1-1-1;手套-右-1/数采手套-左.1-1-1/五指模组-2-1/DX027-40030-外壳-LD2.1-1-1,c_r_1_4,a_r_1_4,glove_joint_r_1_4,revolute,0.049711,0.049271,0,0,0,0,glove_link_r_1_3,0,0,-1,0,0,-3.14,3.14,,,,,,,,
glove_link_r_1_5,0.00748139131892994,0.0130198442236513,1.50909535989036E-07,0,0,0,0.00273129648201657,2.5447611701064E-07,-5.60975777639633E-08,-2.84041128373397E-12,1.13240436459486E-07,-2.62998517676926E-12,2.62656084435697E-07,0,0,0,0,0,0,package://DexGlove_R_v4/meshes/glove_link_r_1_5.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_R_v4/meshes/glove_link_r_1_5.STL,,手套-右-1/数采手套-左.1-1-1/a2-1-1/DX-V4.02-03-13-02 指尖上卡座.1-1-1;手套-右-1/数采手套-左.1-1-1/a2-1-1/DX-V4.02-03-13-03 指尖上卡座上盖.1-1-1,c_r_1_5,a_r_1_5,glove_joint_r_1_5,revolute,0.03551,-0.054428,0,0,0,-1.2829,glove_link_r_1_4,0,0,1,0,0,-3.14,3.14,,,,,,,,
glove_link_r_2_1,0.0128682650914172,0.00098207034446951,0.00228712703246368,0,0,0,0.00177621017502045,5.45401254532858E-08,-6.10239113066656E-09,-2.55317505269246E-08,1.58002765835087E-07,-2.24066162403181E-09,1.63282679199555E-07,0,0,0,0,0,0,package://DexGlove_R_v4/meshes/glove_link_r_2_1.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_R_v4/meshes/glove_link_r_2_1.STL,,手套-右-1/数采手套-左-1-1/五指模组-3-1/DX-V4.02-03-02 过渡连接杆.3-1-2,c_r_2_1,a_r_2_1,glove_joint_r_2_1,revolute,0.074852,0.024382,-0.017,0,0,0,base_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
glove_link_r_2_2,-0.0421254927294304,0.0179606137692559,-0.0020024464331635,0,0,0,0.00665268790640258,1.55027509135341E-06,2.28428132126278E-06,2.02338596510065E-09,4.03626169844632E-06,1.20357984544271E-08,5.5002221859395E-06,0,0,0,0,0,0,package://DexGlove_R_v4/meshes/glove_link_r_2_2.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_R_v4/meshes/glove_link_r_2_2.STL,,手套-右-1/数采手套-左-1-1/五指模组-3-1/盖板2.1.1.1.1-1-1;手套-右-1/数采手套-左-1-1/五指模组-3-1/DX-V4.02-03-05 食指连杆1.2.1.1-1-1,c_r_2_2,a_r_2_2,glove_joint_r_2_2,revolute,0.02,0,0.0047,1.5708,1.5708,0,glove_link_r_2_1,0,0,-1,0,0,-3.14,3.14,,,,,,,,
glove_link_r_2_3,0.0361142784278727,0.00441858251013481,-0.00283104218717778,0,0,0,0.00532747912025888,1.52293513060802E-07,6.31203568881296E-08,2.81947895400062E-09,2.78194828911368E-06,-2.29944946314289E-09,2.85709041480136E-06,0,0,0,0,0,0,package://DexGlove_R_v4/meshes/glove_link_r_2_3.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_R_v4/meshes/glove_link_r_2_3.STL,,手套-右-1/数采手套-左-1-1/五指模组-3-1/DX-V4.02-03-03 食指连杆2.2.1.1.1-1-1;手套-右-1/数采手套-左-1-1/五指模组-3-1/盖板.2.1-1-1,c_r_2_3,a_r_2_3,glove_joint_r_2_3,revolute,-0.073326,0.042996,-0.0001,0,0,0,glove_link_r_2_2,0,0,1,0,0,-3.14,3.14,,,,,,,,
glove_link_r_2_4,0.00748139521183073,0.0130198628757925,1.52202217051922E-07,0,0,0,0.00273129751777574,2.54476140794324E-07,-5.60975198904362E-08,-2.85038827772602E-12,1.13240561477675E-07,-2.67482963858562E-12,2.62656224501887E-07,0,0,0,0,0,0,package://DexGlove_R_v4/meshes/glove_link_r_2_4.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_R_v4/meshes/glove_link_r_2_4.STL,,手套-右-1/数采手套-左-1-1/五指模组-3-1/DX-V4.02-03-13.00 指尖卡座组件.1-1-1/指尖外壳-1-1;手套-右-1/数采手套-左-1-1/五指模组-3-1/DX-V4.02-03-13.00 指尖卡座组件.1-1-1/DX-V4.02-03-13-02 指尖上卡座-1-1,c_r_2_4,a_r_2_4,glove_joint_r_2_4,revolute,0.064976,-0.00029093,0.0001,0,0,0,glove_link_r_2_3,0,0,-1,0,0,-3.14,3.14,,,,,,,,
